Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorous,Fertilizer
26,52,38,Sandy,Maize,37,0,0,Urea
29,52,45,Loamy,Sugarcane,12,0,36,DAP
34,65,62,Black,Cotton,7,9,30,14-35-14
32,62,34,Red,Tobacco,22,0,20,28-28
28,54,46,Clayey,Paddy,35,0,0,Urea
23,53,60,Sandy,Paddy,0,0,0,10-26-26
26,64,43,Loamy,Wheat,0,18,26,10-26-26
27,55,33,Red,Cotton,20,0,14,28-28
31,64,56,Clayey,Tobacco,0,0,0,10-26-26
32,61,34,Sandy,Cotton,23,0,14,28-28
28,54,50,Black,Maize,35,0,0,Urea
26,53,38,Loamy,Wheat,35,4,0,Urea
29,62,45,Red,Sugarcane,12,0,36,DAP
34,64,62,Clayey,Cotton,7,9,30,14-35-14
23,55,40,Sandy,Paddy,0,0,0,10-26-26
26,63,43,Black,Wheat,0,18,26,10-26-26
27,54,33,Loamy,Cotton,20,0,14,28-28
31,63,56,Red,Tobacco,0,0,0,10-26-26
32,62,34,Sandy,Cotton,24,0,14,28-28
28,55,50,Clayey,Maize,35,0,0,Urea
26,54,38,Black,Wheat,37,2,0,Urea
29,53,45,Loamy,Sugarcane,12,4,36,DAP
34,65,62,Red,Cotton,7,9,30,14-35-14
32,63,34,Clayey,Tobacco,22,0,20,28-28
28,55,46,Sandy,Paddy,35,0,0,Urea
26,64,60,Loamy,Paddy,0,0,0,10-26-26
27,54,43,Red,Wheat,0,18,26,10-26-26
31,62,33,Clayey,Cotton,20,0,14,28-28
32,64,56,Black,Tobacco,0,0,0,10-26-26
28,53,34,Sandy,Cotton,24,0,14,28-28
29,55,50,Loamy,Maize,35,0,0,Urea
26,62,38,Red,Wheat,37,4,0,Urea
31,64,45,Clayey,Sugarcane,12,0,36,DAP
34,55,62,Black,Cotton,7,9,30,14-35-14
23,54,40,Sandy,Paddy,0,0,0,10-26-26
27,53,43,Loamy,Wheat,0,18,26,10-26-26
32,65,33,Red,Cotton,20,0,14,28-28
28,64,56,Clayey,Tobacco,0,0,0,10-26-26
26,62,34,Black,Cotton,24,0,14,28-28
29,54,50,Sandy,Maize,35,0,0,Urea
26,53,38,Loamy,Wheat,37,0,0,Urea
32,55,45,Red,Sugarcane,12,4,36,DAP
34,64,62,Clayey,Cotton,7,9,30,14-35-14
23,62,40,Black,Paddy,0,0,0,10-26-26
27,64,43,Sandy,Wheat,0,18,26,10-26-26
31,54,33,Loamy,Cotton,20,0,14,28-28
32,53,56,Red,Tobacco,0,0,0,10-26-26
28,65,34,Clayey,Cotton,24,0,14,28-28
26,64,50,Black,Maize,35,0,0,Urea
29,62,38,Sandy,Wheat,37,4,0,Urea
26,55,45,Loamy,Sugarcane,12,0,36,DAP
34,54,62,Red,Cotton,7,9,30,14-35-14
23,53,40,Clayey,Paddy,0,0,0,10-26-26
27,65,43,Black,Wheat,0,18,26,10-26-26
31,64,33,Sandy,Cotton,20,0,14,28-28
32,62,56,Loamy,Tobacco,0,0,0,10-26-26
28,55,34,Red,Cotton,24,0,14,28-28
26,54,50,Clayey,Maize,35,0,0,Urea
29,53,38,Black,Wheat,37,2,0,Urea
26,65,45,Sandy,Sugarcane,12,0,36,DAP
27,64,43,Loamy,Wheat,0,18,26,10-26-26
31,62,33,Red,Cotton,20,0,14,28-28
32,55,56,Clayey,Tobacco,0,0,0,10-26-26
28,54,34,Black,Cotton,24,0,14,28-28
26,53,50,Sandy,Maize,35,0,0,Urea
29,65,38,Loamy,Wheat,37,4,0,Urea
34,64,62,Red,Cotton,7,9,30,14-35-14
23,62,40,Clayey,Paddy,0,0,0,10-26-26
27,55,43,Black,Wheat,0,18,26,10-26-26
32,54,56,Sandy,Tobacco,0,0,0,10-26-26
26,53,38,Loamy,Cotton,24,0,14,28-28
29,65,50,Red,Maize,35,0,0,Urea
34,64,45,Clayey,Sugarcane,12,4,36,DAP
28,62,34,Black,Cotton,22,0,20,28-28
26,55,46,Sandy,Paddy,35,0,0,Urea
27,54,60,Loamy,Paddy,0,0,0,10-26-26
31,53,43,Red,Wheat,0,18,26,10-26-26
32,65,33,Clayey,Cotton,20,0,14,28-28
28,64,56,Black,Tobacco,0,0,0,10-26-26
26,62,34,Sandy,Cotton,24,0,14,28-28
29,55,50,Loamy,Maize,35,0,0,Urea
26,54,38,Red,Wheat,37,0,0,Urea
34,53,62,Clayey,Cotton,7,9,30,14-35-14
23,65,40,Black,Paddy,0,0,0,10-26-26
27,64,43,Sandy,Wheat,0,18,26,10-26-26
31,62,33,Loamy,Cotton,20,0,14,28-28
32,55,56,Red,Tobacco,0,0,0,10-26-26
28,54,34,Clayey,Cotton,24,0,14,28-28
26,53,50,Black,Maize,35,0,0,Urea
29,65,38,Sandy,Wheat,37,4,0,Urea
26,64,45,Loamy,Sugarcane,12,0,36,DAP
34,62,62,Red,Cotton,7,9,30,14-35-14
23,55,40,Clayey,Paddy,0,0,0,10-26-26
27,54,43,Black,Wheat,0,18,26,10-26-26
31,53,33,Sandy,Cotton,20,0,14,28-28
32,65,56,Loamy,Tobacco,0,0,0,10-26-26
28,64,34,Red,Cotton,24,0,14,28-28
26,62,50,Clayey,Maize,35,0,0,Urea
